Data;Hora;Posição X;Posição Y
2023-06-07;16:00:57.436;1037;348
2023-06-07;16:00:58.271;1056;285
2023-06-07;16:00:58.634;1286;195
2023-06-07;16:00:58.981;850;171
2023-06-07;16:00:59.303;1257;326
2023-06-07;16:00:59.603;739;343
2023-06-07;16:00:59.895;1307;340
2023-06-07;16:01:00.138;1238;169
2023-06-07;16:01:00.431;743;282
2023-06-07;16:01:00.701;1316;357
2023-06-07;16:01:00.983;1309;161
2023-06-07;16:01:01.288;781;142
2023-06-07;16:01:01.587;1336;293
2023-06-07;16:01:01.883;684;385
2023-06-07;16:01:02.195;1351;411
2023-06-07;16:01:02.451;1277;198
2023-06-07;16:01:02.739;643;338
2023-06-07;16:01:03.065;1197;409
2023-06-07;16:01:03.398;1413;400
2023-06-07;16:01:03.649;1442;215
2023-06-07;16:01:04.025;882;471
2023-06-07;16:01:04.354;1352;479
2023-06-07;16:01:04.649;1137;354
2023-06-07;16:01:04.994;1109;182
2023-06-07;16:01:05.291;656;311
2023-06-07;16:01:05.609;1077;416
2023-06-07;16:01:05.876;1422;428
2023-06-07;16:01:06.148;1444;184
2023-06-07;16:01:06.454;820;408
2023-06-07;16:01:07.041;172;175
2023-06-07;16:01:07.750;1066;266
2023-06-07;16:01:08.639;1222;329
2023-06-07;16:01:08.995;1351;308
2023-06-07;16:01:09.314;977;198
2023-06-07;16:01:09.616;783;414
2023-06-07;16:01:09.900;1331;254
2023-06-07;16:01:10.249;1273;136
2023-06-07;16:01:11.058;956;359
2023-06-07;16:01:11.364;1392;276
2023-06-07;16:01:11.671;1201;152
2023-06-07;16:01:11.949;945;311
2023-06-07;16:01:12.206;1390;341
2023-06-07;16:01:12.467;1328;155
2023-06-07;16:01:12.832;847;171
2023-06-07;16:01:13.201;775;446
2023-06-07;16:01:13.487;1293;431
2023-06-07;16:01:13.790;1250;198
2023-06-07;16:01:14.110;883;175
2023-06-07;16:01:14.384;889;401
2023-06-07;16:01:14.673;1320;339
2023-06-07;16:01:14.964;1075;166
2023-06-07;16:01:15.256;684;388
2023-06-07;16:01:16.826;235;255
2023-06-07;16:01:17.761;1839;48
2023-06-07;16:01:21.236;581;56
2023-06-07;16:01:21.730;1033;276
2023-06-07;16:01:23.271;913;396
2023-06-07;16:01:23.704;1192;380
2023-06-07;16:01:24.054;1192;380
2023-06-07;16:01:25.502;1131;380
2023-06-07;16:01:25.857;1305;360
2023-06-07;16:01:26.170;1148;209
2023-06-07;16:01:26.494;837;352
2023-06-07;16:01:26.769;1375;322
2023-06-07;16:01:27.047;1074;194
2023-06-07;16:01:27.351;770;363
2023-06-07;16:01:27.619;1235;303
2023-06-07;16:01:27.950;1000;218
2023-06-07;16:01:28.304;852;335
2023-06-07;16:01:28.995;1093;372
2023-06-07;16:01:29.354;1074;322
2023-06-07;16:01:29.594;1074;322
2023-06-07;16:01:29.758;1074;322
2023-06-07;16:01:30.233;1074;322
2023-06-07;16:01:31.197;1074;322
2023-06-07;16:01:32.086;1074;322
2023-06-07;16:01:35.247;399;53
2023-06-07;16:01:36.368;1822;51
2023-06-07;19:51:14.169;551;58
2023-06-07;19:51:14.798;929;309
2023-06-07;19:51:15.274;837;318
2023-06-07;19:51:17.917;753;6
2023-06-07;19:51:19.824;-862;386
2023-06-07;19:51:21.309;765;1076
2023-06-07;19:51:22.239;944;300
2023-06-07;19:51:22.685;960;531
2023-06-07;19:51:22.845;960;531
2023-06-07;19:51:23.001;960;531
2023-06-07;19:51:23.146;961;531
2023-06-07;19:51:23.300;960;531
2023-06-07;19:51:23.464;960;531
2023-06-07;19:51:23.621;960;531
2023-06-07;19:51:23.769;960;531
2023-06-07;19:51:23.929;960;531
2023-06-07;19:51:24.095;960;531
2023-06-07;19:51:24.230;961;532
2023-06-07;19:51:25.124;960;531
2023-06-07;19:51:26.349;960;531
2023-06-07;19:51:26.511;960;531
2023-06-07;19:51:26.667;960;531
2023-06-07;19:51:26.827;960;531
2023-06-07;19:51:27.001;959;531
2023-06-07;19:51:27.181;960;531
2023-06-07;19:51:27.372;960;531
2023-06-07;19:51:27.549;957;533
2023-06-07;19:51:27.736;960;531
2023-06-07;19:51:27.908;967;532
2023-06-07;19:51:28.097;964;531
2023-06-07;19:51:28.284;960;531
2023-06-07;19:51:28.479;913;527
2023-06-07;19:51:28.647;960;531
2023-06-07;19:51:28.844;960;531
2023-06-07;19:51:29.027;939;531
2023-06-07;19:51:29.240;960;531
2023-06-07;19:51:29.718;960;531
